marketcap,volume,timestamp,name,symbol,slug
16897799235.887249,4494441480.21667,,,,binance-coin
14382240741.817444,2494385674.3730154,,,,binance-coin
14264912536.664877,2110101187.1090434,,,,binance-coin
13675631308.952553,13091332598.413498,,,,binance-coin
12050560640.581993,396689663.34943205,,,,binance-coin
12050439999.18832,9550963068.904085,,,,binance-coin
11529078657.35703,354102571.2903244,,,,binance-coin
10165170493.631905,3559512607.060017,,,,binance-coin
9994246021.631067,283262836.8258186,,,,binance-coin
10008986986.817421,986016837.6331116,,,,binance-coin
9568228985.24793,6950211525.516094,,,,binance-coin
8408443123.645745,615618583.5831556,,,,binance-coin
8203959232.898095,1478163002.383262,,,,binance-coin
7799613620.754869,8782125390.634129,,,,binance-coin
6601590050.94691,460496647.51888734,,,,binance-coin
6560398745.044624,1824043747.4553757,,,,binance-coin
6326713209.311877,429662554.19584274,,,,binance-coin
6053677775.58322,195865005.99694893,,,,binance-coin
5841901499.814023,814644975.7455525,,,,binance-coin
5785938092.49432,109860848.41000652,,,,binance-coin
5778597317.645634,381411872.21600175,,,,binance-coin
5347940314.424069,350275910.0211909,,,,binance-coin
5181326299.520671,321177467.6369935,,,,binance-coin
5153007396.035365,1494294864.9598,,,,binance-coin
5121863195.881598,57036181.89378007,,,,binance-coin
5046500043.67912,369080485.4762549,,,,binance-coin
4705609904.489036,517819451.17503875,,,,binance-coin
4701629564.653018,2061048149.9521098,,,,binance-coin
4590998446.694672,1532881520.3008559,,,,binance-coin
4532788018.462711,109003356.50906597,,,,binance-coin
4453050994.498135,241364936.96907362,,,,binance-coin
4153552894.102049,1222795168.714254,,,,binance-coin
4118501658.564442,108138542.91188186,,,,binance-coin
3954244776.1947217,224369101.7244379,,,,binance-coin
3691318615.4351854,192131317.27543086,,,,binance-coin
3595176373.231509,358293858.06693363,,,,binance-coin
3548735384.943502,953141249.4492608,,,,binance-coin
3347286698.9067793,204708925.18957132,,,,binance-coin
3189684718.6183667,73418297.50651774,,,,binance-coin
3148426297.6259775,184457450.47044328,,,,binance-coin
3073958017.946327,1939407.275924,,,,binance-coin
2812561356.805537,36269120.44606295,,,,binance-coin
2669994948.930002,346664697.4521099,,,,binance-coin
2643814405.6530614,425419150.411839,,,,binance-coin
2582067473.1871514,180651425.22739786,,,,binance-coin
2532737267.4481664,1422093278.6643248,,,,binance-coin
2355028238.4830484,312317323.1136952,,,,binance-coin
2354298069.3445854,260894594.17577997,,,,binance-coin
2272624498.671368,242096019.77494293,,,,binance-coin
2196327114.651496,9624625.8726399,,,,binance-coin
2168713601.9601483,88534643.95885135,,,,binance-coin
2124175740.0221038,510689237.1034167,,,,binance-coin
2109567674.4398289,423360820.1938019,,,,binance-coin
2090033289.1071994,25652803.98708337,,,,binance-coin
2075650299.5343904,1006700983.8673933,,,,binance-coin
2053682587.902881,48435278.42642944,,,,binance-coin
2013784516.5691607,98155250.30479318,,,,binance-coin
2017918077.6118815,365181640.49238706,,,,binance-coin
2013454785.5708244,112300622.48873642,,,,binance-coin
2009731829.690883,515123665.67111856,,,,binance-coin
1997149542.5552592,163937501.63919982,,,,binance-coin
1995704505.5345712,1883842471.7953923,,,,binance-coin
1957680299.0671782,29158447.26460592,,,,binance-coin
1869245661.2929752,64436358.19761897,,,,binance-coin
1870105879.456251,179687593.24017966,,,,binance-coin
1796823825.5853941,164491883.3511294,,,,binance-coin
1764870593.6422102,7445105.04611538,,,,binance-coin
1707077038.286896,136698612.55799255,,,,binance-coin
1583696412.9678783,622653371.4203516,,,,binance-coin
1544857010.0848784,187010418.34390238,,,,binance-coin
1518490756.6762455,36838043.05236209,,,,binance-coin
1502535868.080719,92350021.38271292,,,,binance-coin
1476109610.3078969,247027659.92627996,,,,binance-coin
1462219448.4666328,28317003.31134208,,,,binance-coin
1436474505.416981,98164480.47216356,,,,binance-coin
1422894000.4517307,176851530.4103087,,,,binance-coin
1396440793.7775245,180749740.02517897,,,,binance-coin
1291278411.2197065,357442924.7033484,,,,binance-coin
1275877286.49501,7454000.79133616,,,,binance-coin
1253697767.8109858,94981407.84024212,,,,binance-coin
1194809796.0419006,7841530.22743828,,,,binance-coin
1181575968.3306777,22557350.94998009,,,,binance-coin
1124032250.0829308,128427793.53145401,,,,binance-coin
1114998235.3094077,235220278.3197254,,,,binance-coin
1091719546.0956903,98445899.1892625,,,,binance-coin
1089787140.9041514,164059721.25079295,,,,binance-coin
1081711145.3681974,147443034.80255774,,,,binance-coin
1040536465.3001064,227034169.6912667,,,,binance-coin
1079646009120.7388,61696004735.95695,,,,dogecoin
